OFS_ID,label
OFS_00202,635
OFS_00203,640
OFS_00205,645
OFS_00206,650
OFS_00208,655
OFS_00209,660
OFS_00210,665
OFS_00211,670
OFS_00212,675
OFS_00213,680
OFS_00214,685
OFS_00216,690
OFS_00217,695
OFS_00219,700
OFS_00220,705
OFS_00221,710
OFS_00222,715
OFS_00223,720
OFS_00224,725
OFS_00225,730
OFS_00226,735
OFS_00227,740
OFS_00228,745
OFS_00229,750
OFS_00230,755
OFS_00231,760
OFS_00232,765
OFS_00233,770
OFS_00234,775
OFS_00235,780
OFS_00236,785
OFS_00237,790
OFS_00238,795
OFS_00239,800
OFS_00240,805
OFS_00241,810
OFS_00243,815
OFS_00250,820
OFS_00251,825
OFS_00252,830
OFS_00253,835
OFS_00254,840
OFS_00255,845
OFS_00257,850
OFS_00258,855
OFS_00259,860
OFS_00260,865
OFS_00261,870
OFS_00262,875
OFS_00264,880
OFS_00265,885
OFS_00266,890
OFS_00267,895
OFS_00268,900
OFS_00269,905
OFS_00270,910
OFS_00271,915
OFS_00272,920
OFS_00273,925
OFS_00274,930
OFS_00275,935
OFS_00276,940
OFS_00277,945
OFS_00278,950
OFS_00279,955
OFS_00280,960
OFS_00282,965
OFS_00283,970
OFS_00284,975
OFS_00285,980
OFS_00286,985
OFS_00287,990
OFS_00288,995
OFS_00289,1000
OFS_00290,1005
OFS_00291,1010
OFS_00292,1015
OFS_00293,1020
OFS_00294,1025
OFS_00295,1030
OFS_00296,1035
OFS_00297,1040
OFS_00299,1045
OFS_00300,1050
OFS_00301,1055
OFS_00302,1060
OFS_00303,1065
OFS_00304,1070
OFS_00305,1075
OFS_00306,1080
OFS_00307,1085
OFS_00315,1090
OFS_00317,1095
OFS_00321,1100
OFS_00322,1105
OFS_00324,1110
OFS_00325,1115
OFS_00326,1120
OFS_00327,1125
OFS_00328,1130
OFS_00331,1135
OFS_00332,1140
OFS_00333,1145
OFS_00334,1150
OFS_00335,1155
OFS_00336,1160
OFS_00337,1165
OFS_00340,1170
OFS_00341,1175
OFS_00351,1180
OFS_00352,1185
OFS_00353,1190
OFS_00354,1195
OFS_00355,1200
OFS_00356,1205
OFS_00357,1210
OFS_00358,1215
OFS_00359,1220
OFS_00360,1225
OFS_00361,1230
OFS_00363,1235
OFS_00364,1240
OFS_00365,1245
OFS_00366,1250
OFS_00367,1255
OFS_00368,1260
OFS_00513,1265
OFS_00514,1270
OFS_00515,1275
OFS_00516,1280
OFS_00517,1285
OFS_00518,1290
OFS_00519,1295
OFS_00520,1300
OFS_00521,1305
OFS_00522,1310
OFS_00523,1315
OFS_00524,1320
OFS_00525,1325
OFS_00527,1330
OFS_00528,1335
OFS_00529,1340
OFS_00530,1345
OFS_00532,1350
OFS_00533,1355
OFS_00534,1360
OFS_00535,1365
OFS_00536,1370
OFS_00538,1375
OFS_00539,1380
OFS_00540,1385
OFS_00541,1390
OFS_00542,1395
OFS_00543,1400
OFS_00545,1405
OFS_00546,1410
OFS_00547,1415
OFS_00548,1420
OFS_00549,1425
OFS_00550,1430
OFS_00551,1435
OFS_00552,1440
OFS_00554,1445
OFS_00557,1450
OFS_00563,1455
OFS_00565,1460
OFS_00567,1465
OFS_00568,1470
OFS_00570,1475
OFS_00577,1480
OFS_00578,1485
OFS_00579,1490
OFS_00581,1495
OFS_00582,1500
OFS_00584,1505
OFS_00585,1510
OFS_00586,1515
OFS_00587,1520
OFS_00595,1525
OFS_00598,1530
OFS_00599,1535
OFS_00600,1540
OFS_00601,1545
OFS_00603,1550
OFS_00604,1555
OFS_00605,1560
OFS_00606,1565
OFS_00607,1570
OFS_00608,1575
OFS_00616,1580
OFS_00618,1585
OFS_00625,1590
OFS_00633,1595
OFS_00690,1600
OFS_00691,1605
OFS_00692,1610
OFS_00693,1615
OFS_00694,1620
OFS_00695,1625
OFS_00696,1630
OFS_00766,1635
OFS_00767,1640
OFS_00775,1645
OFS_00776,1650
OFS_00779,1655
OFS_00780,1660
OFS_00781,1665
OFS_00782,1670
OFS_00783,1675
OFS_00784,1680
OFS_00785,1685
OFS_00786,1690
OFS_00787,1695
OFS_00788,1700
OFS_00805,1705
OFS_00806,1710
OFS_00807,1715
OFS_00809,1720
OFS_00811,1725
OFS_00812,1730
OFS_00813,1735
OFS_00817,1740
OFS_00819,1745
OFS_00823,1750
OFS_00824,1755
OFS_00825,1760
OFS_00826,1765
OFS_00827,1770
OFS_00828,1775
OFS_00829,1780
OFS_00830,1785
OFS_00843,1790
OFS_00845,1795
OFS_00846,1800
OFS_00847,1805
OFS_00848,1810
OFS_00849,1815
OFS_00851,1820
OFS_00852,1825
OFS_00853,1830
OFS_00854,1835
OFS_00855,1840
OFS_00856,1845
OFS_00861,1850
OFS_00863,1855
OFS_00864,1860
OFS_00868,1865
OFS_00871,1870
OFS_00872,1875
OFS_00873,1880
OFS_00874,1885
OFS_00880,1890
OFS_00883,1895
OFS_00892,1900
OFS_00894,1905
OFS_00919,1910
OFS_00920,1915
OFS_00921,1920
OFS_00923,1925
OFS_00924,1930
OFS_00925,1935
OFS_00929,1940
OFS_00930,1945
OFS_00931,1950
OFS_00946,1955
OFS_00947,1960
OFS_00949,1965
OFS_00950,1970
OFS_00951,1975
OFS_00952,1980
OFS_00957,1985
OFS_00958,1990
OFS_00962,1995
OFS_00963,2000
OFS_00964,2005
OFS_00970,2010
OFS_00971,2015
OFS_00972,2020
OFS_00974,2025
OFS_00975,2030
OFS_00976,2035
OFS_00977,2040
OFS_00978,2045
OFS_00979,2050
OFS_00981,2055
OFS_00982,2060
OFS_00983,2065
OFS_00984,2070
OFS_00985,2075
OFS_00986,2080
OFS_00987,2085
OFS_00988,2090
OFS_00989,2095
OFS_00990,2100
OFS_00991,2105
OFS_00992,2110
OFS_00993,2115
OFS_00994,2120
OFS_00995,2125
OFS_00996,2130
OFS_00997,2135
OFS_00998,2140
OFS_01000,2145
OFS_01001,2150
OFS_01002,2155
OFS_01003,2160
OFS_01004,2165
OFS_01006,2170
OFS_01007,2175
OFS_01008,2180
OFS_01009,2185
OFS_01010,2190
OFS_01011,2195
OFS_01013,2200
OFS_01016,2205
OFS_01017,2210
OFS_01018,2215
OFS_01019,2220
OFS_01034,2225
OFS_01036,2230
OFS_01039,2235
OFS_01040,2240
OFS_01043,2245
OFS_01045,2250
OFS_01046,2255
OFS_01047,2260
OFS_01051,2265
OFS_01054,2270
OFS_01055,2275
OFS_01058,2280
OFS_01059,2285
OFS_01060,2290
OFS_01062,2295
OFS_01064,2300
OFS_01065,2305
OFS_01066,2310
OFS_01074,2315
OFS_01075,2320
OFS_01076,2325
OFS_01080,2330
OFS_01081,2335
OFS_01082,2340
OFS_01083,2345
OFS_01084,2350
OFS_01085,2355
OFS_01086,2360
OFS_01087,2365
OFS_01088,2370
OFS_01089,2375
OFS_01090,2380
OFS_01091,2385
OFS_01092,2390
OFS_01094,2395
OFS_01095,2400
OFS_01096,2405
OFS_01104,2410
OFS_01106,2415
OFS_01108,2420
OFS_01112,2425
OFS_01113,2430
OFS_01114,2435
OFS_01115,2440
OFS_01116,2445
OFS_01117,2450
OFS_01118,2455
OFS_01119,2460
OFS_01120,2465
OFS_01121,2470
OFS_01122,2475
OFS_01123,2480
OFS_01124,2485
OFS_01125,2490
OFS_01126,2495
OFS_01127,2500
OFS_01128,2505
OFS_01129,2510
OFS_01130,2515
OFS_01142,2520
OFS_01143,2525
OFS_01144,2530
OFS_01145,2535
OFS_01146,2540
OFS_01147,2545
OFS_01148,2550
OFS_01149,2555
OFS_01150,2560
OFS_01151,2565
OFS_01152,2570
OFS_01153,2575
OFS_01154,2580
OFS_01155,2585
OFS_01156,2590
OFS_01157,2595
OFS_01158,2600
OFS_01159,2605
OFS_01160,2610
OFS_01161,2615
OFS_01162,2620
OFS_01163,2625
OFS_01164,2630
OFS_01165,2635
OFS_01166,2640
OFS_01167,2645
OFS_01168,2650
OFS_01169,2655
OFS_01170,2660
OFS_01171,2665
OFS_01172,2670
OFS_01173,2675
OFS_01174,2680
OFS_01175,2685
OFS_01176,2690
OFS_01177,2695
OFS_01178,2700
OFS_01179,2705
OFS_01180,2710
OFS_01181,2715
OFS_01182,2720
OFS_01183,2725
OFS_01184,2730
OFS_01185,2735
OFS_01186,2740
OFS_01187,2745
OFS_01189,2750
OFS_01193,2755
OFS_01205,2760
OFS_01206,2765
OFS_01208,2770
OFS_01214,2775
OFS_01218,2780
OFS_01219,2785
OFS_01220,2790
OFS_01221,2795
OFS_01245,2800
OFS_01246,2805
